AV ber dwr wnr ber_std dwr_std wnr_std
0.0 0.294 33.3794007737 inf 0.105851048386 2.68024403596 
2.0 0.258 33.3410528932 27.5523560014 0.10347302386 2.76224105419 2.7503231488
4.0 0.27 33.4072931616 21.636558859 0.095800719088 2.68382636323 2.7366535614
6.0 0.268 33.3147838873 18.1526722844 0.0962404396406 2.6861198332 2.71857830866
8.0 0.262 33.3381658358 15.7062248966 0.0614274639989 2.74329031295 2.6852937893
10.0 0.29 33.3628810984 13.8198747705 0.0812403840464 2.7496908278 2.6691419122
12.0 0.28 33.3480911969 12.2908261312 0.125786415094 2.7294230795 2.6424136252
14.0 0.242 33.3208907822 11.0172329842 0.0528730134904 2.73804020064 2.62288196324
16.0 0.272 33.3390066046 9.91670648376 0.112031741534 2.76812760972 2.61337880996
18.0 0.292 33.3636315307 8.94175193773 0.0839047078536 2.71714974629 2.59530063544
